Date : 2025-03-31 18:58:08
Directory : d:\examples\blog\src
Total : 596 files,  100781 codes, 10018 comments, 16692 blanks, all 127491 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| main\java\com\kitty\blog\model\tag                                                                                     |          4 |        168 |          6 |         42 |        216 |
| main\java\com\kitty\blog\model\userActivity                                                                            |          2 |        107 |          5 |         24 |        136 |
| main\java\com\kitty\blog\model\userRole                                                                                |          2 |         97 |          4 |         24 |        125 |
| main\java\com\kitty\blog\repository                                                                                    |         18 |        416 |        768 |        209 |      1,393 |
| main\java\com\kitty\blog\repository (Files)                                                                            |         16 |        381 |        737 |        194 |      1,312 |
| main\java\com\kitty\blog\repository\tag                                                                                |          2 |         35 |         31 |         15 |         81 |
| main\java\com\kitty\blog\security                                                                                      |          5 |        242 |         65 |         41 |        348 |
| main\java\com\kitty\blog\security (Files)                                                                              |          2 |        162 |          4 |         24 |        190 |
| main\java\com\kitty\blog\security\filter                                                                               |          3 |         80 |         61 |         17 |        158 |
| main\java\com\kitty\blog\service                                                                                       |         26 |      3,136 |        370 |        595 |      4,101 |
| main\java\com\kitty\blog\service (Files)                                                                               |         19 |      2,607 |        205 |        462 |      3,274 |
| main\java\com\kitty\blog\service\contentReview                                                                         |          5 |        252 |         54 |         51 |        357 |
| main\java\com\kitty\blog\service\postAnalysis                                                                          |          2 |        277 |        111 |         82 |        470 |
| main\java\com\kitty\blog\service\postAnalysis\author                                                                   |          1 |        177 |         77 |         57 |        311 |
| main\java\com\kitty\blog\service\postAnalysis\reader                                                                   |          1 |        100 |         34 |         25 |        159 |
| main\java\com\kitty\blog\utils                                                                                         |          4 |        218 |         61 |         55 |        334 |
| main\resources                                                                                                         |        465 |     91,145 |      7,765 |     14,869 |    113,779 |
| main\resources (Files)                                                                                                 |          6 |        157 |         45 |         27 |        229 |
| main\resources\sql                                                                                                     |          4 |        139 |         46 |         37 |        222 |
| main\resources\sql\init                                                                                                |          4 |        139 |         46 |         37 |        222 |
| main\resources\static                                                                                                  |        427 |     88,283 |      7,597 |     14,637 |    110,517 |
| main\resources\static\admin                                                                                            |        400 |     74,600 |      5,931 |     12,860 |     93,391 |
| main\resources\static\admin\css                                                                                        |          6 |        509 |        103 |        107 |        719 |
| main\resources\static\admin\editormd                                                                                   |        376 |     72,141 |      5,627 |     12,377 |     90,145 |
| main\resources\static\admin\editormd (Files)                                                                           |         10 |      7,077 |      1,259 |      2,025 |     10,361 |
| main\resources\static\admin\editormd\css                                                                               |          6 |      6,444 |        226 |      1,447 |      8,117 |
| main\resources\static\admin\editormd\fonts                                                                             |          2 |        576 |          0 |          0 |        576 |
| main\resources\static\admin\editormd\languages                                                                         |          2 |        242 |          2 |         10 |        254 |
| main\resources\static\admin\editormd\lib                                                                               |        324 |     48,096 |      3,284 |      7,118 |     58,498 |
| main\resources\static\admin\editormd\lib (Files)                                                                       |          7 |         13 |         40 |          1 |         54 |
| main\resources\static\admin\editormd\lib\codemirror                                                                    |        317 |     48,083 |      3,244 |      7,117 |     58,444 |
| main\resources\static\admin\editormd\lib\codemirror (Files)                                                            |          7 |        102 |         14 |          7 |        123 |
| main\resources\static\admin\editormd\lib\codemirror\addon                                                              |         65 |      6,780 |        363 |        842 |      7,985 |
| main\resources\static\admin\editormd\lib\codemirror\addon\comment                                                      |          2 |        236 |         10 |         24 |        270 |
| main\resources\static\admin\editormd\lib\codemirror\addon\dialog                                                       |          2 |        151 |         11 |         27 |        189 |
| main\resources\static\admin\editormd\lib\codemirror\addon\display                                                      |          5 |        231 |          8 |         29 |        268 |
| main\resources\static\admin\editormd\lib\codemirror\addon\edit                                                         |          6 |        485 |         58 |         54 |        597 |
| main\resources\static\admin\editormd\lib\codemirror\addon\fold                                                         |          8 |        658 |         24 |         76 |        758 |
| main\resources\static\admin\editormd\lib\codemirror\addon\hint                                                         |          8 |      1,213 |         39 |        129 |      1,381 |
| main\resources\static\admin\editormd\lib\codemirror\addon\lint                                                         |          7 |        437 |         36 |         83 |        556 |
| main\resources\static\admin\editormd\lib\codemirror\addon\merge                                                        |          2 |        741 |         18 |         90 |        849 |
| main\resources\static\admin\editormd\lib\codemirror\addon\mode                                                         |          5 |        441 |         21 |         56 |        518 |
| main\resources\static\admin\editormd\lib\codemirror\addon\runmode                                                      |          4 |        342 |         14 |         37 |        393 |
| main\resources\static\admin\editormd\lib\codemirror\addon\scroll                                                       |          4 |        303 |          7 |         47 |        357 |
| main\resources\static\admin\editormd\lib\codemirror\addon\search                                                       |          5 |        503 |         40 |         46 |        589 |
| main\resources\static\admin\editormd\lib\codemirror\addon\selection                                                    |          3 |        242 |         16 |         32 |        290 |
| main\resources\static\admin\editormd\lib\codemirror\addon\tern                                                         |          3 |        671 |         58 |        101 |        830 |
| main\resources\static\admin\editormd\lib\codemirror\addon\wrap                                                         |          1 |        126 |          3 |         11 |        140 |
| main\resources\static\admin\editormd\lib\codemirror\lib                                                                |          2 |      7,149 |        973 |        856 |      8,978 |
| main\resources\static\admin\editormd\lib\codemirror\mode                                                               |        210 |     33,082 |      1,711 |      5,226 |     40,019 |
| main\resources\static\admin\editormd\lib\codemirror\mode (Files)                                                       |          2 |        294 |          3 |         16 |        313 |
| main\resources\static\admin\editormd\lib\codemirror\mode\apl                                                           |          2 |        226 |          2 |         21 |        249 |
| main\resources\static\admin\editormd\lib\codemirror\mode\asterisk                                                      |          2 |        293 |         25 |         36 |        354 |
| main\resources\static\admin\editormd\lib\codemirror\mode\clike                                                         |          3 |      1,355 |         13 |        146 |      1,514 |
| main\resources\static\admin\editormd\lib\codemirror\mode\clojure                                                       |          2 |        246 |         28 |         59 |        333 |
| main\resources\static\admin\editormd\lib\codemirror\mode\cobol                                                         |          2 |        445 |         10 |         12 |        467 |
| main\resources\static\admin\editormd\lib\codemirror\mode\coffeescript                                                  |          2 |        854 |         24 |        233 |      1,111 |
| main\resources\static\admin\editormd\lib\codemirror\mode\commonlisp                                                    |          2 |        264 |          2 |         35 |        301 |
| main\resources\static\admin\editormd\lib\codemirror\mode\css                                                           |          7 |      1,297 |         16 |        200 |      1,513 |
| main\resources\static\admin\editormd\lib\codemirror\mode\cypher                                                        |          2 |        193 |          4 |         14 |        211 |
| main\resources\static\admin\editormd\lib\codemirror\mode\d                                                             |          2 |        432 |          3 |         58 |        493 |
| main\resources\static\admin\editormd\lib\codemirror\mode\dart                                                          |          2 |        101 |          3 |         19 |        123 |
| main\resources\static\admin\editormd\lib\codemirror\mode\diff                                                          |          2 |        143 |          2 |         21 |        166 |
| main\resources\static\admin\editormd\lib\codemirror\mode\django                                                        |          2 |        116 |          2 |         14 |        132 |
| main\resources\static\admin\editormd\lib\codemirror\mode\dockerfile                                                    |          2 |        127 |          9 |         15 |        151 |
| main\resources\static\admin\editormd\lib\codemirror\mode\dtd                                                           |          2 |        191 |         12 |         30 |        233 |
| main\resources\static\admin\editormd\lib\codemirror\mode\dylan                                                         |          2 |        576 |         42 |         90 |        708 |
| main\resources\static\admin\editormd\lib\codemirror\mode\ebnf                                                          |          2 |        261 |          9 |         29 |        299 |
| main\resources\static\admin\editormd\lib\codemirror\mode\ecl                                                           |          2 |        229 |          3 |         29 |        261 |
| main\resources\static\admin\editormd\lib\codemirror\mode\eiffel                                                        |          2 |        483 |         52 |         58 |        593 |
| main\resources\static\admin\editormd\lib\codemirror\mode\erlang                                                        |          2 |        538 |         63 |         99 |        700 |
| main\resources\static\admin\editormd\lib\codemirror\mode\forth                                                         |          2 |        217 |         12 |         28 |        257 |
| main\resources\static\admin\editormd\lib\codemirror\mode\fortran                                                       |          2 |        232 |          3 |         36 |        271 |
| main\resources\static\admin\editormd\lib\codemirror\mode\gas                                                           |          2 |        345 |         17 |         53 |        415 |
| main\resources\static\admin\editormd\lib\codemirror\mode\gfm                                                           |          3 |        330 |         16 |         86 |        432 |
| main\resources\static\admin\editormd\lib\codemirror\mode\gherkin                                                       |          2 |        166 |         30 |         32 |        228 |
| main\resources\static\admin\editormd\lib\codemirror\mode\go                                                            |          2 |        237 |          3 |         32 |        272 |
| main\resources\static\admin\editormd\lib\codemirror\mode\groovy                                                        |          2 |        278 |          5 |         29 |        312 |
| main\resources\static\admin\editormd\lib\codemirror\mode\haml                                                          |          3 |        269 |         18 |         51 |        338 |
| main\resources\static\admin\editormd\lib\codemirror\mode\haskell                                                       |          2 |        292 |          3 |         47 |        342 |
| main\resources\static\admin\editormd\lib\codemirror\mode\haxe                                                          |          2 |        562 |         12 |         70 |        644 |
| main\resources\static\admin\editormd\lib\codemirror\mode\htmlembedded                                                  |          2 |        117 |          6 |         23 |        146 |
| main\resources\static\admin\editormd\lib\codemirror\mode\htmlmixed                                                     |          2 |        187 |          4 |         21 |        212 |
| main\resources\static\admin\editormd\lib\codemirror\mode\http                                                          |          2 |        132 |          2 |         26 |        160 |
| main\resources\static\admin\editormd\lib\codemirror\mode\idl                                                           |          2 |        317 |          8 |         31 |        356 |
| main\resources\static\admin\editormd\lib\codemirror\mode\jade                                                          |          2 |        572 |         20 |         70 |        662 |
| main\resources\static\admin\editormd\lib\codemirror\mode\javascript                                                    |          5 |      1,006 |         26 |        112 |      1,144 |
| main\resources\static\admin\editormd\lib\codemirror\mode\jinja2                                                        |          2 |        176 |          8 |         14 |        198 |
| main\resources\static\admin\editormd\lib\codemirror\mode\julia                                                         |          2 |        403 |         23 |         72 |        498 |
| main\resources\static\admin\editormd\lib\codemirror\mode\kotlin                                                        |          2 |        314 |          7 |         50 |        371 |
| main\resources\static\admin\editormd\lib\codemirror\mode\livescript                                                    |          2 |        620 |          6 |        115 |        741 |
| main\resources\static\admin\editormd\lib\codemirror\mode\lua                                                           |          2 |        199 |          6 |         41 |        246 |
| main\resources\static\admin\editormd\lib\codemirror\mode\markdown                                                      |          3 |      1,336 |        156 |        389 |      1,881 |
| main\resources\static\admin\editormd\lib\codemirror\mode\mirc                                                          |          2 |        339 |          3 |         13 |        355 |
| main\resources\static\admin\editormd\lib\codemirror\mode\mllike                                                        |          2 |        340 |          2 |         44 |        386 |
| main\resources\static\admin\editormd\lib\codemirror\mode\modelica                                                      |          2 |        249 |         14 |         51 |        314 |
| main\resources\static\admin\editormd\lib\codemirror\mode\nginx                                                         |          2 |        289 |          3 |         69 |        361 |
| main\resources\static\admin\editormd\lib\codemirror\mode\ntriples                                                      |          2 |        177 |         34 |         22 |        233 |
| main\resources\static\admin\editormd\lib\codemirror\mode\octave                                                        |          2 |        174 |          9 |         37 |        220 |
| main\resources\static\admin\editormd\lib\codemirror\mode\pascal                                                        |          2 |        142 |          3 |         27 |        172 |
| main\resources\static\admin\editormd\lib\codemirror\mode\pegjs                                                         |          2 |        160 |          4 |         18 |        182 |
| main\resources\static\admin\editormd\lib\codemirror\mode\perl                                                          |          2 |        858 |         22 |         34 |        914 |
| main\resources\static\admin\editormd\lib\codemirror\mode\php                                                           |          3 |        387 |         11 |         49 |        447 |
| main\resources\static\admin\editormd\lib\codemirror\mode\pig                                                           |          2 |        193 |         24 |         28 |        245 |
| main\resources\static\admin\editormd\lib\codemirror\mode\properties                                                    |          2 |        109 |          3 |         21 |        133 |
| main\resources\static\admin\editormd\lib\codemirror\mode\puppet                                                        |          2 |        260 |         55 |         28 |        343 |
| main\resources\static\admin\editormd\lib\codemirror\mode\python                                                        |          2 |        447 |         26 |         86 |        559 |
| main\resources\static\admin\editormd\lib\codemirror\mode\q                                                             |          2 |        263 |          3 |         19 |        285 |
| main\resources\static\admin\editormd\lib\codemirror\mode\r                                                             |          2 |        216 |          4 |         29 |        249 |
| main\resources\static\admin\editormd\lib\codemirror\mode\rpm                                                           |          3 |        256 |          5 |         58 |        319 |
| main\resources\static\admin\editormd\lib\codemirror\mode\rpm (Files)                                                   |          2 |        202 |          5 |         45 |        252 |
| main\resources\static\admin\editormd\lib\codemirror\mode\rpm\changes                                                   |          1 |         54 |          0 |         13 |         67 |
| main\resources\static\admin\editormd\lib\codemirror\mode\rst                                                           |          2 |        826 |         26 |        242 |      1,094 |
| main\resources\static\admin\editormd\lib\codemirror\mode\ruby                                                          |          3 |        296 |        151 |         38 |        485 |
| main\resources\static\admin\editormd\lib\codemirror\mode\rust                                                          |          2 |        469 |         10 |         34 |        513 |
| main\resources\static\admin\editormd\lib\codemirror\mode\sass                                                          |          2 |        375 |         25 |         82 |        482 |
| main\resources\static\admin\editormd\lib\codemirror\mode\scheme                                                        |          2 |        263 |         20 |         44 |        327 |
| main\resources\static\admin\editormd\lib\codemirror\mode\shell                                                         |          3 |        220 |          7 |         39 |        266 |
| main\resources\static\admin\editormd\lib\codemirror\mode\sieve                                                         |          2 |        227 |         10 |         51 |        288 |
| main\resources\static\admin\editormd\lib\codemirror\mode\slim                                                          |          3 |        680 |         15 |         75 |        770 |
| main\resources\static\admin\editormd\lib\codemirror\mode\smalltalk                                                     |          2 |        187 |          2 |         49 |        238 |
| main\resources\static\admin\editormd\lib\codemirror\mode\smarty                                                        |          2 |        303 |         11 |         45 |        359 |
| main\resources\static\admin\editormd\lib\codemirror\mode\smartymixed                                                   |          2 |        264 |         13 |         36 |        313 |
| main\resources\static\admin\editormd\lib\codemirror\mode\solr                                                          |          2 |        131 |          2 |         30 |        163 |
| main\resources\static\admin\editormd\lib\codemirror\mode\soy                                                           |          2 |        232 |          5 |         31 |        268 |
| main\resources\static\admin\editormd\lib\codemirror\mode\sparql                                                        |          2 |        210 |          2 |         25 |        237 |
| main\resources\static\admin\editormd\lib\codemirror\mode\spreadsheet                                                   |          2 |        128 |          7 |         18 |        153 |
| main\resources\static\admin\editormd\lib\codemirror\mode\sql                                                           |          2 |        361 |         77 |         39 |        477 |
| main\resources\static\admin\editormd\lib\codemirror\mode\stex                                                          |          3 |        393 |         18 |         76 |        487 |
| main\resources\static\admin\editormd\lib\codemirror\mode\stylus                                                        |          2 |        413 |         45 |         92 |        550 |
| main\resources\static\admin\editormd\lib\codemirror\mode\tcl                                                           |          2 |        276 |          3 |         12 |        291 |
| main\resources\static\admin\editormd\lib\codemirror\mode\textile                                                       |          3 |        817 |         32 |        231 |      1,080 |
| main\resources\static\admin\editormd\lib\codemirror\mode\tiddlywiki                                                    |          3 |        424 |         41 |         75 |        540 |
| main\resources\static\admin\editormd\lib\codemirror\mode\tiki                                                          |          3 |        385 |         10 |         51 |        446 |
| main\resources\static\admin\editormd\lib\codemirror\mode\toml                                                          |          2 |        140 |          5 |         18 |        163 |
| main\resources\static\admin\editormd\lib\codemirror\mode\tornado                                                       |          2 |        117 |          2 |         14 |        133 |
| main\resources\static\admin\editormd\lib\codemirror\mode\turtle                                                        |          2 |        184 |          2 |         28 |        214 |
| main\resources\static\admin\editormd\lib\codemirror\mode\vb                                                            |          2 |        300 |         19 |         59 |        378 |
| main\resources\static\admin\editormd\lib\codemirror\mode\vbscript                                                      |          2 |        299 |         34 |         74 |        407 |
| main\resources\static\admin\editormd\lib\codemirror\mode\velocity                                                      |          2 |        266 |         17 |         38 |        321 |
| main\resources\static\admin\editormd\lib\codemirror\mode\verilog                                                       |          3 |        773 |         65 |         95 |        933 |
| main\resources\static\admin\editormd\lib\codemirror\mode\xml                                                           |          3 |        447 |          8 |         40 |        495 |
| main\resources\static\admin\editormd\lib\codemirror\mode\xquery                                                        |          3 |        560 |         66 |        101 |        727 |
| main\resources\static\admin\editormd\lib\codemirror\mode\yaml                                                          |          2 |        158 |         16 |         25 |        199 |
| main\resources\static\admin\editormd\lib\codemirror\mode\z80                                                           |          2 |        128 |          2 |         24 |        154 |
| main\resources\static\admin\editormd\lib\codemirror\theme                                                              |         33 |        970 |        183 |        186 |      1,339 |
| main\resources\static\admin\editormd\plugins                                                                           |         15 |      2,589 |        168 |        367 |      3,124 |
| main\resources\static\admin\editormd\plugins (Files)                                                                   |          1 |         75 |         26 |         11 |        112 |
| main\resources\static\admin\editormd\plugins\code-block-dialog                                                         |          1 |        192 |         12 |         34 |        238 |
| main\resources\static\admin\editormd\plugins\emoji-dialog                                                              |          2 |        288 |         12 |         56 |        356 |
| main\resources\static\admin\editormd\plugins\goto-line-dialog                                                          |          1 |        122 |         11 |         25 |        158 |
| main\resources\static\admin\editormd\plugins\help-dialog                                                               |          2 |        139 |         11 |         31 |        181 |
| main\resources\static\admin\editormd\plugins\html-entities-dialog                                                      |          2 |      1,058 |         11 |         41 |      1,110 |
| main\resources\static\admin\editormd\plugins\image-dialog                                                              |          1 |        163 |         12 |         47 |        222 |
| main\resources\static\admin\editormd\plugins\link-dialog                                                               |          1 |         94 |         16 |         24 |        134 |
| main\resources\static\admin\editormd\plugins\preformatted-text-dialog                                                  |          1 |        134 |         11 |         28 |        173 |
| main\resources\static\admin\editormd\plugins\reference-link-dialog                                                     |          1 |        115 |         12 |         27 |        154 |
| main\resources\static\admin\editormd\plugins\table-dialog                                                              |          1 |        177 |         11 |         31 |        219 |
| main\resources\static\admin\editormd\plugins\test-plugin                                                               |          1 |         32 |         23 |         12 |         67 |
| main\resources\static\admin\editormd\scss                                                                              |         16 |      4,041 |         80 |        505 |      4,626 |
| main\resources\static\admin\editormd\scss (Files)                                                                      |         14 |      3,448 |         41 |        342 |      3,831 |
| main\resources\static\admin\editormd\scss\lib                                                                          |          2 |        593 |         39 |        163 |        795 |
| main\resources\static\admin\editormd\src                                                                               |          1 |      3,076 |        608 |        905 |      4,589 |
| main\resources\static\admin\js                                                                                         |          4 |        480 |        121 |         62 |        663 |
| main\resources\static\admin\plugins                                                                                    |         14 |      1,470 |         80 |        314 |      1,864 |
| main\resources\static\admin\plugins\jquery-multi-select                                                                |          1 |        135 |         14 |         33 |        182 |
| main\resources\static\admin\plugins\jquery.steps                                                                       |          1 |        261 |         12 |         55 |        328 |
| main\resources\static\admin\plugins\jquery.steps\demo                                                                  |          1 |        261 |         12 |         55 |        328 |
| main\resources\static\admin\plugins\jquery.steps\demo\css                                                              |          1 |        261 |         12 |         55 |        328 |
| main\resources\static\admin\plugins\md                                                                                 |          7 |        215 |         30 |         45 |        290 |
| main\resources\static\admin\plugins\md\css                                                                             |          1 |         56 |          0 |          1 |         57 |
| main\resources\static\admin\plugins\md\js                                                                              |          6 |        159 |         30 |         44 |        233 |
| main\resources\static\admin\plugins\select2.dist.css                                                                   |          2 |        589 |         19 |        127 |        735 |
| main\resources\static\admin\plugins\tagsinput                                                                          |          2 |         61 |          0 |          8 |         69 |
| main\resources\static\admin\plugins\toggles                                                                            |          1 |        209 |          5 |         46 |        260 |
| main\resources\static\blog                                                                                             |         24 |     13,650 |      1,651 |      1,776 |     17,077 |
| main\resources\static\blog\css                                                                                         |          2 |      3,528 |         52 |          5 |      3,585 |
| main\resources\static\blog\fancybox                                                                                    |          2 |         46 |          1 |          1 |         48 |
| main\resources\static\blog\fancybox\2.1.5                                                                              |          2 |         46 |          1 |          1 |         48 |
| main\resources\static\blog\fastclick                                                                                   |          1 |         16 |          7 |          1 |         24 |
| main\resources\static\blog\fastclick\1.0.6                                                                             |          1 |         16 |          7 |          1 |         24 |
| main\resources\static\blog\font-awesome                                                                                |          3 |      2,960 |          3 |          2 |      2,965 |
| main\resources\static\blog\font-awesome\4.6.2                                                                          |          3 |      2,960 |          3 |          2 |      2,965 |
| main\resources\static\blog\font-awesome\4.6.2\css                                                                      |          1 |          1 |          3 |          1 |          5 |
| main\resources\static\blog\font-awesome\4.6.2\fonts                                                                    |          2 |      2,959 |          0 |          1 |      2,960 |
| main\resources\static\blog\image                                                                                       |          1 |         20 |          1 |          0 |         21 |
| main\resources\static\blog\jquery                                                                                      |          2 |      6,174 |      1,489 |      1,548 |      9,211 |
| main\resources\static\blog\jquery.lazyload                                                                             |          1 |          1 |          1 |          0 |          2 |
| main\resources\static\blog\jquery.lazyload\1.9.3                                                                       |          1 |          1 |          1 |          0 |          2 |
| main\resources\static\blog\js                                                                                          |          8 |        889 |         90 |        219 |      1,198 |
| main\resources\static\blog\js\schemes                                                                                  |          1 |         17 |          0 |          1 |         18 |
| main\resources\static\blog\js\src                                                                                      |          7 |        872 |         90 |        218 |      1,180 |
| main\resources\static\blog\lib                                                                                         |          2 |         14 |          2 |          0 |         16 |
| main\resources\static\blog\lib\algolia-instant-search                                                                  |          2 |         14 |          2 |          0 |         16 |
| main\resources\static\blog\velocity                                                                                    |          2 |          2 |          5 |          0 |          7 |
| main\resources\static\blog\velocity\1.2.3                                                                              |          2 |          2 |          5 |          0 |          7 |
| main\resources\static\error                                                                                            |          3 |         33 |         15 |          1 |         49 |
| main\resources\static\error\css                                                                                        |          1 |          1 |          0 |          0 |          1 |
| main\resources\static\error\js                                                                                         |          2 |         32 |         15 |          1 |         48 |
| main\resources\templates                                                                                               |         28 |      2,566 |         77 |        168 |      2,811 |
| main\resources\templates\admin                                                                                         |         12 |      1,570 |         61 |         77 |      1,708 |
| main\resources\templates\admin (Files)                                                                                 |         10 |      1,437 |         51 |         75 |      1,563 |
| main\resources\templates\admin\fragments                                                                               |          2 |        133 |         10 |          2 |        145 |
| main\resources\templates\blog                                                                                          |         12 |        806 |         14 |         29 |        849 |
| main\resources\templates\blog (Files)                                                                                  |          9 |        603 |          9 |         18 |        630 |
| main\resources\templates\blog\fragments                                                                                |          3 |        203 |          5 |         11 |        219 |
| main\resources\templates\comm                                                                                          |          2 |         80 |          2 |         24 |        106 |
| main\resources\templates\error                                                                                         |          2 |        110 |          0 |         38 |        148 |
| test                                                                                                                   |          3 |         24 |         23 |          8 |         55 |
| test\java                                                                                                              |          2 |          9 |         21 |          6 |         36 |
| test\java\com                                                                                                          |          2 |          9 |         21 |          6 |         36 |
| test\java\com\kitty                                                                                                    |          2 |          9 |         21 |          6 |         36 |
| test\java\com\kitty\blog                                                                                               |          2 |          9 |         21 |          6 |         36 |
| test\resources                                                                                                         |          1 |         15 |          2 |          2 |         19 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                               | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\examples\blog\src\main\java\com\kitty\blog\BlogApplication.java                                                     | Java            |         13 |          0 |          5 |         18 |
| d:\examples\blog\src\main\java\com\kitty\blog\aspect\LoggingAspect.java                                                | Java            |         21 |          1 |          6 |         28 |
| d:\examples\blog\src\main\java\com\kitty\blog\component\sql\CustomDatabaseInitializer.java                             | Java            |         57 |          0 |         13 |         70 |
| d:\examples\blog\src\main\java\com\kitty\blog\config\AsyncConfig.java                                                  | Java            |         19 |          0 |          3 |         22 |
| d:\examples\blog\src\main\java\com\kitty\blog\config\CorsConfig.java                                                   | Java            |         20 |          0 |          3 |         23 |
| d:\examples\blog\src\main\java\com\kitty\blog\config\JacksonConfig.java                                                | Java            |         12 |          0 |          2 |         14 |
| d:\examples\blog\src\main\java\com\kitty\blog\config\MailConfig.java                                                   | Java            |         41 |          0 |         17 |         58 |
| d:\examples\blog\src\main\java\com\kitty\blog\config\RedisConfig.java                                                  | Java            |         30 |          3 |          7 |         40 |
| d:\examples\blog\src\main\java\com\kitty\blog\config\SecurityConfig.java                                               | Java            |         80 |         35 |         17 |        132 |
| d:\examples\blog\src\main\java\com\kitty\blog\config\SwaggerConfig.java                                                | Java            |         56 |          4 |         10 |         70 |
| d:\examples\blog\src\main\java\com\kitty\blog\config\WebConfig.java                                                    | Java            |         29 |          0 |          5 |         34 |
| d:\examples\blog\src\main\java\com\kitty\blog\config\WebSocketConfig.java                                              | Java            |         84 |          3 |         12 |         99 |
